Event,Full Name,Team Name,points,Division,Weight
Heart of Texas,Kingsley Alo,Nolf Wrestling Academy,30,D1,50
TX Nationals,Ezekiel Medrano,Gracie Barra Westchase Wrestling Club,0,D1,46
Heart of Texas,Ezekiel Medrano,Gracie Barra Westchase Wrestling Club,0,D1,46
Edge of Texas,Ezekiel Perales,El Paso Enforcers Wrestling Club,5,D1,50
Edge of Texas,Jameson Baumgardner,El Paso Texas Wrestling Club,10,D1,50
TX Nationals,Ilana Lightfoot,El Paso Texas Wrestling Club (EPTWC),0,D1,42
Edge of Texas,Diego Ortiz,El Paso Wildcats Wrestling Club,0,D1,60
TX Nationals,Valeria Gutierrez,Gracie Barra Westchase Wrestling Club,10,D1,42
Edge of Texas,Gabriel Acosta,El Paso Texas Wrestling Club,0,D1,55
Panhandle,Gabriel Acosta,El Paso Texas Wrestling Club (EPTWC),0,D1,55
Heart of Texas,Barrett Yeager,Nolf Wrestling Academy,0,D1,55
Panhandle,Everett Dixson,Fitness Fight Factory Wrestling Club,0,D1,60
Heart of Texas,Julian Zuniga,Irish Wrestling Club,0,D1,60
TX Nationals,Tyson Townes,Texas Elite Wrestling Club,30,D1,42
TX Nationals,Lazerus Westbrook,Texas Elite Wrestling Club,0,D1,50
Panhandle,Ivan  Narvaez,Dumas Wrestling,10,D1,65
TX Nationals,Giovanni Lugo,Ohana HQ Wrestling,0,D1,80
Edge of Texas,Adonis Ducre,Richmond Wrestling Academy,0,D1,65
TX Nationals,Adonis Ducre,Richmond Wrestling Academy,5,D1,65
Heart of Texas,Davis Hartman,Spring Klein Wrestling Club,0,D1,65
Panhandle,Annahi Galvan,Lubbock-Cooper High School Wrestling,0,D1,55
Heart of Texas,Ajay Urbina,Dead Shot Wrestling Club,5,D1,55
TX Nationals,Darren Coldrick,All American Wrestling Club,30,D1,55
Heart of Texas,Myles Gallagher,Paradigm Wrestling,0,D1,60
Edge of Texas,Brody Bueno,El Paso Texas Wrestling Club,0,D1,46
TX Nationals,Judah Maccabee,Paradigm Wrestling,0,D1,46
Heart of Texas,Vyana Ly,Best Trained Wrestling,5,D1,50
Heart of Texas,Brooks Arnett,Steve Page Grappling,0,D1,55
Edge of Texas,Richard Pena,Takedown City Wrestling Club,0,D1,46
Heart of Texas,Oliver Staley,Hill Country Wildcats Wrestling Club,5,D1,80
TX Nationals,Junior Flores,Dead Shot Wrestling Club,30,D1,80
TX Nationals,Savannah Mccruse,Rise Wrestling,10,D1,199
Heart of Texas,Miro Cardenas,Vici Wrestling Club,5,D1,60
TX Nationals,Orion Machado,Tom Eagle Wrestling Academy,0,D1,50
Heart of Texas,Donovan Cuppy,Steve Page Grappling,10,D1,46
Edge of Texas,Atticus Marquez,El Paso Enforcers Wrestling Club,0,D1,60
Panhandle,Talon Ivy,Randall Youth Wrestling Club,0,D1,65
Edge of Texas,Mason Elliott,STAY SHARP WRESTLING CLUB,10,D1,80
Edge of Texas,Jaiden Elliott,STAY SHARP WRESTLING CLUB,0,D1,72
Heart of Texas,Warren Patchell,Texans Wrestling Club,30,D1,80
TX Nationals,Alfred Ignacio,ONE Wrestling Academy,0,D1,65
Heart of Texas,Alfred Ignacio,ONE Wrestling Academy,0,D1,65
Heart of Texas,Caden Stone,Spring Klein Wrestling Club,30,D1,65
TX Nationals,Caden Stone,Spring Klein Wrestling Club,30,D1,60
Edge of Texas,Zamira Baker,El Paso Enforcers Wrestling Club,0,D1,42
Heart of Texas,Logan Sly,Texas Elite Wrestling Club,0,D1,46
Lonestar Nationals,Brian Alexander Fischer,Cardinal Wrestling Club,0,D1  ,65
Lonestar Nationals,Liam Mullins,Spartan Mat Club,0,D1  ,50
Lonestar Nationals,Zayden Rios,Panhandle RTC,30,D1  ,46
Lonestar Nationals,Maximus Wilson,Liberty Warriors Wrestling Club,10,D1  ,60
Lonestar Nationals,John Carpenter,Best Trained Wrestling,5,D1  ,55
Lonestar Nationals,Eyan Morgan,Amped Wrestling Club,30,D1  ,80
Lonestar Nationals,Zayden Rios,Best Trained Wrestling,30,D1  ,60
Lonestar Nationals,Dean Norris,Vici Wrestling Club,5,D1  ,80
Lonestar Nationals,Maverick Cox,Panhandle RTC,0,D1  ,55
Lonestar Nationals,Isaiah Rodriguez,All American Wrestling Club,10,D1  ,65
Lonestar Nationals,Jake Gonzales,Vici Wrestling Club,5,D1  ,65
Lonestar Nationals,Max Anderson,Texas Elite Wrestling Club,5,D1  ,72
Lonestar Nationals,Thomas Castaneda,El Paso Texas Wrestling Club (EPTWC),30,D1  ,38
Lonestar Nationals,Captain Michaelsen,Katy Area Wrestling Club,0,D1  ,50
Lonestar Nationals,Levi Barry,Texasports Wrestling,0,D1  ,65
Lonestar Nationals,Tezza Leyva,El Paso Texas Wrestling Club (EPTWC),30,D1  ,42
Lonestar Nationals,Ricardo Arteche,El Paso Texas Wrestling Club (EPTWC),5,D1  ,46
Lonestar Nationals,Clark Mason,Vici Wrestling Club,30,D1  ,55
Lonestar Nationals,Elias Roberts,Panhandle RTC,0,D1  ,60
Lonestar Nationals,Gavin Matthews,El Paso Texas Wrestling Club (EPTWC),0,D1  ,80
Lonestar Nationals,Emerson Morales,Liberty Warriors Wrestling Club,10,D1  ,50
Lonestar Nationals,Carson Steinocher,Katy Area Wrestling Club,10,D1  ,46
Lonestar Nationals,Leo Hernandez,Wildcat Wrestling Club,0,D1  ,80
Lonestar Nationals,Taytum Jackson,Rockwall High School Wrestling,0,D1  ,72
Lonestar Nationals,Yaniliz Navarro,El Paso Wildcats Wrestling Club,5,D1  ,38
Lonestar Nationals,Lilian Alejandra Guerrero,Silverback Wrestling Fort Worth,0,D1  ,55
Lonestar Nationals,Bobby Shane,Katy Area Wrestling Club,10,D1  ,72
Lonestar Nationals,Rocky Molis,Vici Wrestling Club,0,D1  ,60
Lonestar Nationals,Connor Byrne,Katy Area Wrestling Club,10,D1  ,42
Lonestar Nationals,Kingsley Alo,Nolf Wrestling Academy,30,D1  ,50
Lonestar Nationals,Ezekiel Medrano,Gracie Barra Westchase Wrestling Club,0,D1  ,46
Lonestar Nationals,Jameson Baumgardner,El Paso Texas Wrestling Club (EPTWC),5,D1  ,50
Lonestar Nationals,Barrett Yeager,Nolf Wrestling Academy,0,D1  ,55
Lonestar Nationals,Everett Dixson,Fitness Fight Factory Wrestling Club,0,D1  ,60
Lonestar Nationals,Julian Zuniga,Irish Wrestling Club,5,D1  ,60
Lonestar Nationals,Ivan Narvaez,Dumas Wrestling,0,D1  ,65
Lonestar Nationals,Leo Vargas,Dumas Wrestling,0,D1  ,46
Lonestar Nationals,Brock Thomas,Amped Wrestling Club,0,D1  ,72
Lonestar Nationals,Darren Coldrick,All American Wrestling Club,10,D1  ,55
Lonestar Nationals,Judah Maccabee,Paradigm Wrestling,0,D1  ,46
Lonestar Nationals,Alexandra Murphy,Takedown City Wrestling Club,10,D1  ,38
Lonestar Nationals,Dominic Lain,Strike and Submit Wrestling Club,0,D1  ,50
Lonestar Nationals,Warren Patchell,Texans Wrestling Club,10,D1  ,80
Lonestar Nationals,Caden Stone,Spring Klein Wrestling Club,30,D1  ,65
Heart of Texas,Jaxon Raney,Texas Elite Wrestling Club,5,D2,83
Edge of Texas,Bryce Neel,NB Elite Wrestling Club,30,D2,58
TX Nationals,Bryce Neel,NB Elite Wrestling Club,30,D2,58
Heart of Texas,Bryce Neel,NB Elite Wrestling Club,30,D2,58
TX Nationals,Cortney Pacely Ii,Rise Wrestling,5,D2,75
Heart of Texas,Cortney Pacely II,Rise Wrestling,10,D2,75
Panhandle,Ezra Flores,Amped Wrestling Club,5,D2,92
Edge of Texas,Kamryn Clark,El Paso Supers Wrestling Club,30,D2,115
TX Nationals,Kamryn Clark,Texas,10,D2,100
Heart of Texas,Ewing Doran,Dragon Youth Wrestling,10,D2,70
Edge of Texas,Steven Molina Iii,Sentinels Wrestling Academy,30,D2,83
TX Nationals,Walter Jones,Boneyard Wrestling Academy,0,D2,70
Edge of Texas,Daniel Choo,Gracie Barra Westchase Wrestling Club,10,D2,58
TX Nationals,Daniel Choo,Gracie Barra Westchase Wrestling Club,10,D2,58
Heart of Texas,Daniel Choo,Gracie Barra Westchase Wrestling Club,0,D2,58
Panhandle,Parker Grant,,0,D2,92
TX Nationals,Parker Grant,Nolf Wrestling Academy,10,D2,92
Heart of Texas,Parker Grant,Nolf Wrestling Academy,10,D2,92
TX Nationals,Dallas Bartlett,3F Wrestling,0,D2,55
Heart of Texas,Dallas Bartlett,3F Wrestling,30,D2,55
