Event,Full Name,Team Name,points,Division,Weight
Lonestar Nationals,Ezra Flores,Amped Wrestling Club,0,D2  ,92
Lonestar Nationals,Daniel Hernandez,Wesley Club Wrestling,0,D2  ,52
Lonestar Nationals,Swayze Wall,Randall Youth Wrestling Club,0,D2  ,100
Lonestar Nationals,McClain Hall,Randall Youth Wrestling Club,0,D2  ,61
Lonestar Nationals,Brantley Arluck,Spartan Mat Club,10,D2  ,92
Lonestar Nationals,Malachi Latham,Randall Youth Wrestling Club,0,D2  ,83
Lonestar Nationals,Thomas Luca Schober,Cardinal Wrestling Club,30,D2  ,65
Lonestar Nationals,Sailor Roberts,Wesley Club Wrestling,0,D2  ,55
Lonestar Nationals,Aiden Vargas,Dumas Wrestling,5,D2  ,92
Lonestar Nationals,Cole Latta,Texas Elite Wrestling Club,10,D2  ,83
Lonestar Nationals,Ethan Dickerson,Cardinal Wrestling Club,0,D2  ,92
Lonestar Nationals,Legend Collins,Mission Wrestling Club,30,D2  ,75
Lonestar Nationals,Tegan Kjeldgaard,Wildcat Wrestling Club,5,D2  ,55
Lonestar Nationals,Zachary Rios,Panhandle RTC,0,D2  ,58
Lonestar Nationals,Samuel Nacol,Wildcat Wrestling Club,0,D2  ,70
Lonestar Nationals,Payton Johnson,Spring Klein Wrestling Club,5,D2  ,52
Lonestar Nationals,Grace Windom,Silverback Wrestling Fort Worth,30,D2  ,199
Lonestar Nationals,Nicholas Lupardus,All American Wrestling Club,30,D2  ,70
Lonestar Nationals,Kaleb Liggett,Amped Wrestling Club,0,D2  ,75
Lonestar Nationals,Chandler Robinson,Best Trained Wrestling,0,D2  ,58
Lonestar Nationals,Tya Elasfouri,Gracie Barra Westchase Wrestling Club,30,D2  ,55
Lonestar Nationals,Kaleb Olsen,Fitness Fight Factory Wrestling Club,0,D2  ,61
Lonestar Nationals,Truett Randle,Apex Grappling Academy,10,D2  ,75
Lonestar Nationals,Nolan Murphy,Takedown City Wrestling Club,0,D2  ,65
Lonestar Nationals,Bowen Morgan,Amped Wrestling Club,0,D2  ,100
Lonestar Nationals,Joseph Olszta III,All American Wrestling Club,30,D2  ,92
Lonestar Nationals,Lincoln Bennett,NB Elite Wrestling Club,0,D2  ,55
Lonestar Nationals,Eli Roark,All American Wrestling Club,10,D2  ,199
Lonestar Nationals,Boone Knochel,Apex Grappling Academy,0,D2  ,61
Lonestar Nationals,Ezekiel Olsen,Fitness Fight Factory Wrestling Club,30,D2  ,58
Lonestar Nationals,Jayda Mayora,Nolf Wrestling Academy,10,D2  ,49
Lonestar Nationals,Christian Huynh,Warrior Trained Wrestling,10,D2  ,61
Lonestar Nationals,Isaiah Rodriguez,All American Wrestling Club,0,D2  ,65
Lonestar Nationals,Grayson McKane,Boneyard Wrestling Academy,30,D2  ,100
Lonestar Nationals,Jackson Kay,Best Trained Wrestling,30,D2  ,199
Lonestar Nationals,Zaylah Castillo,Gracie Barra Westchase Wrestling Club,5,D2  ,61
Lonestar Nationals,Ryder Lentz,Texas Select Wrestling,0,D2  ,70
Lonestar Nationals,Baron Todd,Texas Elite Wrestling Club,10,D2  ,52
Lonestar Nationals,Kaedyn Hine,Fitness Fight Factory Wrestling Club,10,D2  ,65
Lonestar Nationals,Titus Tyner,Cardinal Wrestling Club,5,D2  ,100
Lonestar Nationals,Edison Cutts,Fitness Fight Factory Wrestling Club,0,D2  ,75
Lonestar Nationals,Riley Morin,Fitness Fight Factory Wrestling Club,10,D2  ,70
Lonestar Nationals,Skyler Parrott,All American Wrestling Club,5,D2  ,75
Lonestar Nationals,Joseph Lopez,Vici Wrestling Club,0,D2  ,92
Lonestar Nationals,Leonardo Bustos,Nolf Wrestling Academy,30,D2  ,61
Lonestar Nationals,Solomon White II,Spartan Mat Club,0,D2  ,70
Lonestar Nationals,James Irish,Liberty Warriors Wrestling Club,10,D2  ,199
Lonestar Nationals,Kingsley Alo,Nolf Wrestling Academy,30,D2  ,49
Lonestar Nationals,Benjamin Carreno,Silverback Wrestling Fort Worth,0,D2  ,100
Lonestar Nationals,Julian Alegria,Fitness Fight Factory Wrestling Club,0,D2  ,55
Lonestar Nationals,Gabriel Zamora,Best Trained Wrestling,5,D2  ,58
Lonestar Nationals,Tristan Topper,Texas Elite Wrestling Club,5,D2  ,70
Lonestar Nationals,Jerry Legge III,Fitness Fight Factory Wrestling Club,30,D2  ,52
Lonestar Nationals,Max Martinez,All American Wrestling Club,10,D2  ,58
Lonestar Nationals,Isaac Arroyo,Dumas Wrestling,5,D2  ,199
Lonestar Nationals,Martin Narvaez,Dumas Wrestling,0,D2  ,83
Lonestar Nationals,Case Jones,Apex Grappling Academy,0,D2  ,75
Lonestar Nationals,Josiah Rendon,Heart and Pride Wrestling Club,0,D2  ,83
Lonestar Nationals,Robert Lively,Vici Wrestling Club,5,D2  ,83
Lonestar Nationals,Tyler Arnett II,Steve Page Grappling,0,D2  ,65
Lonestar Nationals,Roy Saucedo Jr,Austin Texas Wrestling Club,10,D2  ,199
Panhandle,Rambo Loya,Glory Wrestling Academy,5,D3,135
TX Nationals,Charlie Robinson,Best Trained Wrestling,0,D3,110
Heart of Texas,Charlie Robinson,Best Trained Wrestling,0,D3,110
Panhandle,Ryan Alvarado,,0,D3,110
Heart of Texas,Eamon Kelts,NB Elite Wrestling Club,0,D3,85
Panhandle,Luke Gonzales,Randall Youth Wrestling Club,10,D3,110
Edge of Texas,Kemp Enriquez,Takedown Elite,30,D3,60
Panhandle,Kemp Enriquez,Takedown Elite Wrestling,10,D3,60
Panhandle,Bo Rios,Best Trained Wrestling,10,D3,75
Panhandle,Deacon Brooks,,10,D3,80
Edge of Texas,Caleb Vasquez,El Paso Enforcers Wrestling Club,30,D3,70
Heart of Texas,Xavier Vargas,Alamo City Wrestling Club,0,D3,110
TX Nationals,Jay Ybarbo,Vici Wrestling Club,0,D3,135
Heart of Texas,Jay Ybarbo,Vici Wrestling Club,10,D3,135
TX Nationals,Brody Brandt,Austin Wrestling Academy,30,D3,120
Heart of Texas,Brody Brandt,Austin Wrestling Academy,30,D3,120
TX Nationals,Seth Michel,Global Wrestling Club,30,D3,80
Heart of Texas,Seth Michel,Global Wrestling Club,30,D3,80
Edge of Texas,Yusha Gilani,Gracie Barra Westchase Wrestling Club,5,D3,70
Panhandle,Yusha Gilani,Gracie Barra Westchase Wrestling Club,0,D3,70
TX Nationals,Yusha Gilani,Gracie Barra Westchase Wrestling Club,10,D3,70
Heart of Texas,Yusha Gilani,Gracie Barra Westchase Wrestling Club,10,D3,70
TX Nationals,Oliver Allen,Spring Klein Wrestling Club,0,D3,65
Heart of Texas,Oliver Allen,Spring Klein Wrestling Club,5,D3,65
Heart of Texas,Lincoln Daniels,Katy Area Wrestling Club,0,D3,85
Edge of Texas,Noah Silva,El Paso Wildcats Wrestling Club,30,D3,95
Panhandle,Noah Silva,El Paso Wildcats Wrestling Club,10,D3,95
Heart of Texas,Noah Silva,El Paso Wildcats Wrestling Club,10,D3,95
Edge of Texas,Callie Cigarroa,El Paso Wildcats Wrestling Club,5,D3,135
TX Nationals,Ashton Luna,Vici Wrestling Club,0,D3,100
TX Nationals,Elliot Ruxton,FM Wrestling Club,0,D3,85
Panhandle,Joseph Garza,Wesley Club Wrestling,10,D3,70
Edge of Texas,Andrew Saenz,Wesley Club Wrestling,10,D3,80
Edge of Texas,Valentino Finlan,Takedown City Wrestling Club,0,D3,85
Heart of Texas,Valentino Finlan,Takedown City Wrestling Club,10,D3,85
TX Nationals,Valentino Finlan,Takedown City Wrestling Club,0,D3,80
Panhandle,Tate Russell,ReZults Wrestling,30,D3,75
Heart of Texas,Myer Montour,NB Elite Wrestling Club,0,D3,80
TX Nationals,James Michel,Global Wrestling Club,30,D3,60
Heart of Texas,James Michel,Global Wrestling Club,30,D3,60
TX Nationals,Elijah Romans,Best Trained Wrestling,10,D3,60
TX Nationals,Mills Kjeldgaard,Wildcat Wrestling Club,0,D3,75
Edge of Texas,Aaron Arroyos,Takedown Elite,10,D3,70
Panhandle,Aaron Arroyos,Takedown Elite Wrestling,5,D3,70
TX Nationals,Marcus Rivera,NB Elite Wrestling Club,0,D3,56
TX Nationals,Liam Cooney,WAR Training Center,0,D3,120
TX Nationals,Axel Forsman,Vici Wrestling Club,0,D3,85
Heart of Texas,Axel Forsman,Vici Wrestling Club,5,D3,80
TX Nationals,Evan Savage,Ranger 47 Wrestling Club,10,D3,135
Panhandle,Elias Morgas,Glory Wrestling Academy,30,D3,56
Edge of Texas,Camille Clark,El Paso Supers Wrestling Club,5,D3,120
TX Nationals,Zane Clark,El Paso Supers Wrestling Club,5,D3,199
Edge of Texas,Zane Clark,El Paso Supers Wrestling Club,10,D3,144
TX Nationals,Cael Danielson,Texas Elite Wrestling Club,30,D3,85
Edge of Texas,John Briones Iv,Vici Wrestling Club,30,D3,75
TX Nationals,Boston Mooney,The Woodlands Highlander Wrestling Club,5,D3,95
Panhandle,Gavin Gagne,Amped Wrestling Club,0,D3,80
TX Nationals,Tobin Russell,Texas Select Wrestling,30,D3,100
TX Nationals,Kenneth Bertron,Spartan Mat Club,0,D3,90
TX Nationals,John Mack,Rise Wrestling,30,D3,56
Heart of Texas,Adam Rodriguez,Gracie Barra Westchase Wrestling Club,0,D3,70
Edge of Texas,Zoie Smithe,El Paso Texas Wrestling Club,5,D3,60
Heart of Texas,Zoie Smithe,El Paso Texas Wrestling Club (EPTWC),10,D3,60
TX Nationals,Greyson Andre,Texas Select Wrestling,0,D3,95
TX Nationals,Andy Thomas,Scots Wrestling Club,0,D3,120
Edge of Texas,Killian Pena,NXT Level Wrestling Academy,0,D3,65
Edge of Texas,Noah Johnson,Bomb City Wrestling Academy,5,D3,110
Panhandle,Noah Johnson,Bomb City Wrestling Academy,0,D3,110
TX Nationals,Jaxson Medel,Vici Wrestling Club,0,D3,90
Panhandle,Jayden Alcantara,Silverback Wrestling Fort Worth,5,D3,90
Panhandle,Tripp Flores III,Fitness Fight Factory Wrestling Club,5,D3,65
TX Nationals,Tripp Flores Iii,Fitness Fight Factory Wrestling Club,10,D3,65
Heart of Texas,Tripp Flores III,Fitness Fight Factory Wrestling Club,30,D3,65
TX Nationals,Marrea McKay,Powerhouse Wrestling,10,D3,95
Heart of Texas,Marrea McKay,Powerhouse Wrestling,30,D3,95
Heart of Texas,Alister Morales,Irish Wrestling Club,5,D3,110
TX Nationals,Colt Poynter,Apex Grappling Academy,0,D3,120
TX Nationals,Evan Allison,Texans Wrestling Club,0,D3,90
TX Nationals,Jared Ortega,Texas Elite Wrestling Club,5,D3,70
Edge of Texas,Armando Martinez,Takedown City Wrestling Club,30,D3,110
TX Nationals,Armando Martinez,Takedown City Wrestling Club,30,D3,110
Edge of Texas,Sophia Herrera,Grizzly Wrestling Club,0,D3,65
TX Nationals,Owen Heinz,Inochi Wrestling,10,D3,100
TX Nationals,Maximilian Boucher,3F Wrestling,0,D3,70
Heart of Texas,Maximilian Boucher,3F Wrestling,30,D3,70
TX Nationals,Nathaniel Boyd,Level Change Mat Club,30,D3,135
Heart of Texas,Nathaniel Boyd,Level Change Mat Club,30,D3,135
Panhandle,Nyla Kitchens,Best Trained Wrestling,0,D3,65
Edge of Texas,Frank Archibald,Nolf Wrestling Academy,30,D3,85
Heart of Texas,Giuseppe Argento,Katy Area Wrestling Club,0,D3,65
Edge of Texas,Yusef Elasfouri,Gracie Barra Westchase Wrestling Club,10,D3,85
Panhandle,Yusef Elasfouri,Gracie Barra Westchase Wrestling Club,10,D3,85
TX Nationals,Declan Elijah King,Spring Klein Wrestling Club,5,D3,75
Heart of Texas,Peyton Marsh,Spartan Mat Club,10,D3,90
Panhandle,Peyton Marsh,Spartan Mat Club,0,D3,85
TX Nationals,Peyton Marsh,Spartan Mat Club,5,D3,85
Heart of Texas,Thomas Hooper,Legacy Wrestling Club,0,D3,75
Heart of Texas,Zachary Wilson,Leatherneck Wrestling Club (Wilson Family Wrestling),0,D3,90
Heart of Texas,Jace Niche,Katy Area Wrestling Club,0,D3,100
TX Nationals,Justin Murillo,The Woodlands Highlander Wrestling Club,0,D3,100
Panhandle,Chase Winkle,Best Trained Wrestling,10,D3,100
TX Nationals,Chase Winkle,Best Trained Wrestling,5,D3,100
Heart of Texas,Chase Winkle,Best Trained Wrestling,30,D3,100
Edge of Texas,Urian Aguilar,El Paso Wildcats Wrestling Club,10,D3,95
Panhandle,Urian Aguilar,El Paso Wildcats Wrestling Club,5,D3,95
Heart of Texas,Urian Aguilar,El Paso Wildcats Wrestling Club,5,D3,95
TX Nationals,Ryker Pickard,All American Wrestling Club,0,D3,95
TX Nationals,Alexandra Ayarzagoitia,Gracie Barra Westchase Wrestling Club,5,D3,135
Edge of Texas,Marc Olivas,El Paso Wildcats Wrestling Club,10,D3,135
Panhandle,Marc Olivas,,30,D3,135
Edge of Texas,Ezri Ramirez,West Texas Grapplers Wrestling Club,0,D3,90
Heart of Texas,Rylen Vazquez,806 Takedown Wrestling,30,D3,110
Panhandle,Rylen Vazquez,806 Takedown Wrestling,0,D3,100
TX Nationals,Colten Lugo,Liberty Warriors Wrestling Club,0,D3,60
TX Nationals,Bennett Todd,Texas Elite Wrestling Club,10,D3,56
TX Nationals,Elan Winski,Scots Wrestling Club,5,D3,60
Panhandle,Uriah Ybanez,Panhandle RTC,5,D3,100
Heart of Texas,Christopher Shelby,Jflo Trained,30,D3,199
Heart of Texas,Knox Van de Carr,3F Wrestling,0,D3,65
Panhandle,Jayden Garrison,Armstrong County Wrestling Academy,0,D3,80
Panhandle,Lawson Fields,Armstrong County Wrestling Academy,10,D3,120
TX Nationals,Ezra Criss,Spartan Mat Club,0,D3,80
Panhandle,Gabriel Tantillo,Warrior Trained Wrestling,0,D3,60
Heart of Texas,Devin Noriega,El Paso Supers Wrestling Club,10,D3,199
TX Nationals,Devin Noriega,El Paso Supers Wrestling Club,10,D3,199
Edge of Texas,Devin Noriega,El Paso Supers Wrestling Club,30,D3,144
Panhandle,Devin Noriega,,0,D3,135
Edge of Texas,Easton Thayer,El Paso Wildcats Wrestling Club,0,D3,85
Panhandle,Paxton Dyson,,0,D3,85
TX Nationals,Paxton Dyson,Texas Select Wrestling,0,D3,85
Edge of Texas,Raymond Salido,El Paso Wildcats Wrestling Club,10,D3,100
Heart of Texas,Khloe Enriquez,NXT Level Wrestling Academy,0,D3,70
Edge of Texas,Orlando Ayers,Takedown Elite,5,D3,80
Edge of Texas,Imani Borja,Team Xtreme Wrestling,30,D3,199
TX Nationals,Damon Anderson,Apex Grappling Academy,5,D3,110
Heart of Texas,Julian Ramos,El Paso Wildcats Wrestling Club,5,D3,70
Edge of Texas,Julian Ramos,El Paso Wildcats Wrestling Club,30,D3,65
Panhandle,Julian Ramos,,30,D3,65
TX Nationals,Julian Ramos,El Paso Wildcats Wrestling Club,30,D3,65
Heart of Texas,Jake Horne,Texas Eagle Wrestling Academy,0,D3,60
Panhandle,Jake Horne,Texas Eagle Wrestling Academy,5,D3,56
TX Nationals,Jake Horne,Texas Eagle Wrestling Academy,5,D3,56
Heart of Texas,Beck Sena,Nolf Wrestling Academy,0,D3,65
Edge of Texas,Uriah Edwards,El Paso Texas Wrestling Club,0,D3,80
Edge of Texas,Sir William Johnson,El Paso Enforcers Wrestling Club,10,D3,90
Heart of Texas,Sir William Johnson,El Paso Enforcers Wrestling Club,5,D3,90
Panhandle,Nathen Schoenbein Jr,Steve Page Grappling,0,D3,80
TX Nationals,Nathen Schoenbein Jr,Steve Page Grappling,0,D3,80
Heart of Texas,Nathen Schoenbein Jr,Steve Page Grappling,0,D3,80
Edge of Texas,Tommy Meyer,Vici Wrestling Club,0,D3,70
Panhandle,Andrew Veloquio,Katy Area Wrestling Club,0,D3,75
TX Nationals,Andrew Veloquio,Katy Area Wrestling Club,0,D3,75
Heart of Texas,Andrew Veloquio,Katy Area Wrestling Club,30,D3,75
Panhandle,Jack Flores,Katy Area Wrestling Club,0,D3,90
TX Nationals,Jack Flores,Katy Area Wrestling Club,10,D3,90
Heart of Texas,Jack Flores,Katy Area Wrestling Club,30,D3,90
TX Nationals,Hunter Bedford,Katy Area Wrestling Club,0,D3,95
Heart of Texas,Hunter Bedford,Katy Area Wrestling Club,0,D3,95
Heart of Texas,Jax Gentry,512 Outlaw Wrestling,0,D3,120
Panhandle,Sean Gonzales,,5,D3,110
TX Nationals,Sean Gonzales,Spring Klein Wrestling Club,10,D3,110
Edge of Texas,Logan Martinez,Texas Wrestling Academy,10,D3,120
Panhandle,Logan Martinez,,0,D3,120
Edge of Texas,Jacinto Hernandez,Takedown City Wrestling Club,30,D3,80
Panhandle,Jacinto Hernandez,Takedown City Wrestling Club,30,D3,80
TX Nationals,Jacinto Hernandez,Takedown City Wrestling Club,10,D3,80
Heart of Texas,Jacinto Hernandez,Takedown City Wrestling Club,10,D3,80
Edge of Texas,Dominic Vega,El Paso Enforcers Wrestling Club,0,D3,80
Heart of Texas,Aurelius Alvarez,El Paso Wildcats Wrestling Club,5,D3,199
Panhandle,Aurelius Alvarez,,5,D3,199
Edge of Texas,Aurelius Alvarez,El Paso Wildcats Wrestling Club,0,D3,135
Edge of Texas,Aubree Murillo,Sentinels Wrestling Academy,5,D3,144
Panhandle,Noah Sandstrom,West Texas Grapplers Wrestling Club,0,D3,95
TX Nationals,Keegan Arthur,All American Wrestling Club,30,D3,95
Edge of Texas,Maximus Martinez,Team Fox Wrestling Club,10,D3,75
TX Nationals,Elias Cutts,Fitness Fight Factory Wrestling Club,30,D3,199
TX Nationals,Austin Wright,3F Wrestling,10,D3,120
Heart of Texas,Austin Wright,3F Wrestling,10,D3,120
Panhandle,Ethan Wilson,,0,D3,75
Heart of Texas,Cayden Dominguez,Apex Grappling Academy,0,D3,90
Panhandle,Samuel Martinez,Warrior Trained Wrestling,5,D3,120
TX Nationals,Mikey Mooney,Nolf Wrestling Academy,10,D3,75
Heart of Texas,Mikey Mooney,Nolf Wrestling Academy,10,D3,75
Heart of Texas,ZaydenNoel Hjorten,,0,D3,90
Heart of Texas,Reid Dupreez,Nolf Wrestling Academy,5,D3,85
Edge of Texas,Hunter Dong,Gracie Barra Westchase Wrestling Club,30,D3,90
Panhandle,Hunter Dong,Gracie Barra Westchase Wrestling Club,0,D3,90
Edge of Texas,Bruce Lira,El Paso Wildcats Wrestling Club,30,D3,100
TX Nationals,Blake Bolton,Spring Klein Wrestling Club,30,D3,90
Heart of Texas,Liam Wood,512 Outlaw Wrestling,0,D3,80
Heart of Texas,Victoria Quiroz,The Woodlands Highlander Wrestling Club,0,D3,75
Heart of Texas,Avery Wallace,NB Elite Wrestling Club,5,D3,60
TX Nationals,Maxwell Johnson,All American Wrestling Club,5,D3,90
Edge of Texas,Mehran Sadiev,Gracie Barra Westchase Wrestling Club,5,D3,85
Panhandle,Mehran Sadiev,Gracie Barra Westchase Wrestling Club,0,D3,85
TX Nationals,Mehran Sadiev,Gracie Barra Westchase Wrestling Club,10,D3,85
Heart of Texas,Mehran Sadiev,Gracie Barra Westchase Wrestling Club,30,D3,85
Edge of Texas,Carter Smith,Hill Country Wildcats Wrestling Club,0,D3,135
TX Nationals,Justin Sanchez,Dead Shot Wrestling Club,0,D3,65
Heart of Texas,Justin Sanchez,Dead Shot Wrestling Club,10,D3,65
TX Nationals,Isaac Compean,Dead Shot Wrestling Club,0,D3,110
Heart of Texas,Joseph Martinez,Dead Shot Wrestling Club,0,D3,70
Heart of Texas,Mia Ventura,Richmond Wrestling Academy,10,D3,100
Edge of Texas,Gustavo Hernandez,El Paso Wildcats Wrestling Club,0,D3,100
Heart of Texas,Ashlynn Urbina,Dead Shot Wrestling Club,0,D3,75
Edge of Texas,Gael Smith,Dead Shot Wrestling Club,5,D3,100
Heart of Texas,Gael Smith,Dead Shot Wrestling Club,0,D3,100
Heart of Texas,Caleb Talarico,Texas Elite Wrestling Club,5,D3,75
Edge of Texas,Teddy Sanchez,NXT Level Wrestling Academy,0,D3,80
Edge of Texas,Jade Reveles,El Paso Wildcats Wrestling Club,30,D3,120
Heart of Texas,Jade Reveles,El Paso Wildcats Wrestling Club,5,D3,120
Edge of Texas,Nikolai Nunez,Takedown Elite,0,D3,65
Heart of Texas,Blake Tatro,NB Elite Wrestling Club,0,D3,85
Heart of Texas,King Fitzgerald,Aggtown Rangers,0,D3,110
Edge of Texas,Elijah Castro,Nolf Wrestling Academy,0,D3,70
Heart of Texas,Jerry Miller,Takedown City Wrestling Club,5,D3,100
Edge of Texas,Jerry Miller,Takedown City Wrestling Club,5,D3,95
Heart of Texas,Spencer Rice,Steve Page Grappling,0,D3,120
Panhandle,Adrian Joseph Mata,Wesley Club Wrestling,0,D3,100
Edge of Texas,Donny Clogston,Horizon City Tigers,5,D3,75
Heart of Texas,Lionel Hernandez,806 Takedown Wrestling,10,D3,110
Panhandle,Hudson Copeland,,0,D3,95
Edge of Texas,Zaelyn Baker,El Paso Enforcers Wrestling Club,0,D3,75
Heart of Texas,Reynaldo Guerrero,Texas,0,D3,120
Heart of Texas,Rosendo Guerrero,Steve Page Grappling,0,D3,100
Edge of Texas,Francisco Mireles,El Paso Wildcats Wrestling Club,10,D3,199
Edge of Texas,Dylan Rey,El Paso Enforcers Wrestling Club,0,D3,199
Heart of Texas,Maverick Kloecker,Vici Wrestling Club,5,D3,135
Lonestar Nationals,Charlie Robinson,Best Trained Wrestling,0,D3  ,110
Lonestar Nationals,Kemp Enriquez,Takedown Elite Wrestling,5,D3  ,65
Lonestar Nationals,Bo Rios,Best Trained Wrestling,30,D3  ,75
Lonestar Nationals,Deacon Brooks,Best Trained Wrestling,10,D3  ,80
Lonestar Nationals,Caleb Vasquez,El Paso Enforcers Wrestling Club,0,D3  ,70
Lonestar Nationals,Brody Brandt,Austin Wrestling Academy,30,D3  ,120
Lonestar Nationals,Yusha Gilani,Gracie Barra Westchase Wrestling Club,10,D3  ,70
Lonestar Nationals,Elliot Ruxton,FM Wrestling Club,30,D3  ,90
Lonestar Nationals,Liam Loya,Dumas Wrestling,0,D3  ,65
Lonestar Nationals,Beau Johnston,Texas Elite Wrestling Club,0,D3  ,85
Lonestar Nationals,Mills Kjeldgaard,Wildcat Wrestling Club,5,D3  ,80
Lonestar Nationals,Aaron Arroyos,Takedown Elite Wrestling,0,D3  ,70
Lonestar Nationals,Evan Savage,Ranger 47 Wrestling Club,10,D3  ,135
Lonestar Nationals,Georgia Barron,Spartan Mat Club,0,D3  ,80
Lonestar Nationals,Gavin Gagne,Amped Wrestling Club,0,D3  ,85
Lonestar Nationals,Tobin Russell,Texas Select Wrestling,30,D3  ,100
Lonestar Nationals,Kenneth Bertron,Spartan Mat Club,10,D3  ,85
Lonestar Nationals,Quinto Polidori,Grapevine Wrestling Club,0,D3  ,110
Lonestar Nationals,Zoie Smithe,El Paso Texas Wrestling Club (EPTWC),0,D3  ,60
Lonestar Nationals,Andy Thomas,Scots Wrestling Club,5,D3  ,110
Lonestar Nationals,Noah Johnson,Bomb City Wrestling Academy,0,D3  ,120
Lonestar Nationals,Jayden Alcantara,Silverback Wrestling Fort Worth,0,D3  ,95
Lonestar Nationals,Ryan Assi,Spartan Mat Club,5,D3  ,85
Lonestar Nationals,Tripp Flores III,Fitness Fight Factory Wrestling Club,10,D3  ,65
Lonestar Nationals,Andrew Koester,Apex Grappling Academy,30,D3  ,199
Lonestar Nationals,Nicholas Lupardus,All American Wrestling Club,30,D3  ,70
Lonestar Nationals,Roman Smith,NB Elite Wrestling Club,0,D3  ,85
Lonestar Nationals,Nathaniel Boyd,Level Change Mat Club,30,D3  ,135
Lonestar Nationals,Nyla Kitchens,Best Trained Wrestling,0,D3  ,70
Lonestar Nationals,Declan Elijah King,Spring Klein Wrestling Club,10,D3  ,75
Lonestar Nationals,Peyton Marsh,Spartan Mat Club,5,D3  ,90
Lonestar Nationals,Chase Winkle,Best Trained Wrestling,10,D3  ,100
Lonestar Nationals,Urian Aguilar,El Paso Wildcats Wrestling Club,10,D3  ,95
Lonestar Nationals,Ryker Pickard,All American Wrestling Club,0,D3  ,90
Lonestar Nationals,Rylen Vazquez,806 Takedown Wrestling,0,D3  ,100
Lonestar Nationals,Colten Lugo,Liberty Warriors Wrestling Club,10,D3  ,60
Lonestar Nationals,Bennett Todd,Texas Elite Wrestling Club,30,D3  ,56
Lonestar Nationals,Elan Winski,Scots Wrestling Club,0,D3  ,65
Lonestar Nationals,Uriah Ybanez,Panhandle RTC,5,D3  ,100
Lonestar Nationals,McCoy Powell,All American Wrestling Club,0,D3  ,80
Lonestar Nationals,Joseph Olszta III,All American Wrestling Club,30,D3  ,85
Lonestar Nationals,Devin Noriega,El Paso Supers Wrestling Club,10,D3  ,199
Lonestar Nationals,Jeremiah Cisneros,Scots Wrestling Club,0,D3  ,100
Lonestar Nationals,Damon Anderson,Apex Grappling Academy,10,D3  ,110
Lonestar Nationals,Max Hernandez,Wildcat Wrestling Club,0,D3  ,100
Lonestar Nationals,Nathen Schoenbein Jr,Steve Page Grappling,0,D3  ,80
Lonestar Nationals,Ezekiel Olsen,Fitness Fight Factory Wrestling Club,5,D3  ,60
Lonestar Nationals,Andrew Veloquio,Katy Area Wrestling Club,0,D3  ,75
Lonestar Nationals,Jack Flores,Katy Area Wrestling Club,10,D3  ,90
Lonestar Nationals,Kaedyn Hine,Fitness Fight Factory Wrestling Club,30,D3  ,65
Lonestar Nationals,Logan Martinez,Texas Wrestling Academy,0,D3  ,110
Lonestar Nationals,Jacinto Hernandez,Takedown City Wrestling Club,30,D3  ,80
Lonestar Nationals,Edrees Budri,All American Wrestling Club,0,D3  ,90
Lonestar Nationals,Keegan Arthur,All American Wrestling Club,30,D3  ,95
Lonestar Nationals,Austin Wright,3F Wrestling,10,D3  ,120
Lonestar Nationals,Ethan Wilson,Wildcat Wrestling Club,0,D3  ,75
Lonestar Nationals,Cayden Dominguez,Apex Grappling Academy,0,D3  ,90
Lonestar Nationals,Samuel Martinez,Warrior Trained Wrestling,0,D3  ,120
Lonestar Nationals,Hunter Dong,Gracie Barra Westchase Wrestling Club,5,D3  ,95
Lonestar Nationals,Carson Burke,Paradigm Wrestling,10,D3  ,56
Lonestar Nationals,Zabdiel Charles,Texas Style Wrestling Club,0,D3  ,95
Lonestar Nationals,Maxwell Johnson,All American Wrestling Club,0,D3  ,95
Lonestar Nationals,Carter Smith,Hill Country Wildcats Wrestling Club,5,D3  ,135
Lonestar Nationals,Caleb Talarico,Texas Elite Wrestling Club,0,D3  ,75
Lonestar Nationals,Jose Gutierrez,All American Wrestling Club,0,D3  ,65
Lonestar Nationals,Roy Saucedo Jr,Austin Texas Wrestling Club,5,D3  ,199
Lonestar Nationals,Kupaa John Williams,RHINO Wrestling,0,D3  ,120
TX Nationals,Anson Lastinger,Cardinal Wrestling Club,30,D4,140
Lonestar Nationals,Anson Lastinger,Cardinal Wrestling Club,30,D4,140
Lonestar Nationals,Cord Christensen,Scots Wrestling Club,5,D4,92
Lonestar Nationals,Patrick Emmer,All American Wrestling Club,5,D4,113
Edge of Texas,Omar Perez,Team Xtreme Wrestling,0,D4,113
Panhandle,Omar Perez,,0,D4,113
Edge of Texas,Aj Enriquez,NXT Level Wrestling Academy,5,D4,98
Panhandle,Benjamin Iturrino,,0,D4,150
TX Nationals,Benjamin Iturrino,Carrollton Thunder Wrestling,30,D4,150
TX Nationals,Kenneth Barnes,Cardinal Wrestling Club,30,D4,132
Panhandle,Bradlee Garcia,Wesley Club Wrestling,0,D4,120
TX Nationals,Bradlee Garcia,Wesley Club Wrestling,0,D4,120
Panhandle,Abram Loya,Dumas Wrestling,30,D4,132
Lonestar Nationals,Abram Loya,Dumas Wrestling,5,D4,126
Edge of Texas,Andre Castillo,Takedown Elite,5,D4,75
Edge of Texas,Tiger Ruiz,Brawley Wrestling Academy,30,D4,162
